sku,legacy_sku,name,kind,genus,category,size,tier,planned,price,pack,needs_image,needs_culture,needs_price,needs_tier,needs_category,needs_size,mixed_combo_review,gap_count
S27-0988,,1801S RETAIL VIOLA SORBET XP JUMP UP MIX,straight,Viola,,,,48,,1,1,1,1,1,1,1,,6
S27-0887,,1801S RETAIL STOCK MIME RED,straight,Stock,,,,46,,1,1,1,1,1,1,1,,6
S27-0982,,1801S RETAIL VIOLA SORBET XP DENIM JUMP UP,straight,Viola,,,,38,,1,1,1,1,1,1,1,,6
S27-0998,,1801S RETAIL VIOLA SORBET XP YELLOW BEACON,straight,Viola,,,,33,,1,1,1,1,1,1,1,,6
S27-0992,,1801S RETAIL VIOLA SORBET XP PINK HALO,straight,Viola,,,,26,,1,1,1,1,1,1,1,,6
S27-0990,,1801S RETAIL VIOLA SORBET XP ORANGE JUMP UP,straight,Viola,,,,23,,1,1,1,1,1,1,1,,6
S27-0985,,1801S RETAIL VIOLA SORBET XP LEMON JUMP UP,straight,Viola,,,,18,,1,1,1,1,1,1,1,,6
S27-0994,,1801S RETAIL VIOLA SORBET XP PURPLE FACE,straight,Viola,,,,17,,1,1,1,1,1,1,1,,6
S27-0996,,1801S RETAIL VIOLA SORBET XP WHITE,straight,Viola,,,,17,,1,1,1,1,1,1,1,,6
S27-0154,,1801S RETAIL BELLIS BELLISIMA MIXTURE,straight,Bellis,,,,16,,1,1,1,1,1,1,1,,6
S27-0155,,1801S RETAIL BELLIS BELLISIMA ROSE,straight,Bellis,,,,16,,1,1,1,1,1,1,1,,6
S27-1000,,1801S RETAIL VIOLA SORBET XP YELLOW PINK JUMP UP,straight,Viola,,,,11,,1,1,1,1,1,1,1,,6
S27-0578,,"4.5"" IVY HEDERA MARY BETH",straight,Ivy,,"4.5""",,1200,,10,1,1,1,1,1,,,5
S27-0576,,"4.5"" IVY HEDERA GLACIER",straight,Ivy,,"4.5""",,800,,10,1,1,1,1,1,,,5
S27-0577,,"4.5"" IVY HEDERA GOLDCHILD",straight,Ivy,,"4.5""",,700,,10,1,1,1,1,1,,,5
S27-0575,,"4.5"" IVY HARLEQUIN",straight,Ivy,,"4.5""",,600,,10,1,1,1,1,1,,,5
S27-0585,,"4.5"" GRASS CAREX AMAZON MIST",straight,Juncus,,"4.5""",,480,,10,1,1,1,1,1,,,5
S27-0586,,"4.5"" GRASS CAREX RED ROOSTER",straight,Juncus,,"4.5""",,480,,10,1,1,1,1,1,,,5
S27-0574,,"4.5"" IVY GOLDEN INGE",straight,Ivy,,"4.5""",,400,,10,1,1,1,1,1,,,5
S27-0580,,"4.5"" IVY ALGERIAN TROPICAL BLIZZARD",straight,Ivy,,"4.5""",,400,,10,1,1,1,1,1,,,5
S27-0581,,"4.5"" IVY HEDERA WHITE RIPPLE",straight,Ivy,,"4.5""",,400,,10,1,1,1,1,1,,,5
S27-0582,,"4.5"" IVY HEDERA YELLOW RIPPLE",straight,Ivy,,"4.5""",,400,,10,1,1,1,1,1,,,5
S27-0583,,"4.5"" IVY MINI ESTER",straight,Ivy,,"4.5""",,400,,10,1,1,1,1,1,,,5
