sku,name,genus,kind,size,category,category_fix,tier_guess,tier_final,popular_rank,price,planned,has_culture,notes
S27-0013,1801S RETAIL ALYSSUM CLEAR CRYSTALS LAVENDER SHADES,Alyssum,straight,,color_annuals,,,,,11.72,16,,
S27-0014,1801S RETAIL ALYSSUM CLEAR CRYSTALS PURPLE SHADES,Alyssum,straight,,color_annuals,,,,,12.22,32,,
S27-0015,1801S RETAIL ALYSSUM CLEAR CRYSTALS WHITE,Alyssum,straight,,color_annuals,,,,,11.7,16,,
S27-0016,"4.5"" ANGELONIA ANGELFLARE BLACK",Angelonia,straight,"4.5""",color_annuals,,value,,,31.91,60,Y,
S27-0017,"4.5"" ANGELONIA ANGELFLARE ORCHID PINK",Angelonia,straight,"4.5""",color_annuals,,value,,,31.25,60,Y,
S27-0018,"4.5"" ANGELONIA ANGELISSA PURPLE",Angelonia,straight,"4.5""",color_annuals,,premium,,,33.01,80,Y,
S27-0019,"4.5"" ANGELONIA ANGELISSA ROSE",Angelonia,straight,"4.5""",color_annuals,,value,,,31.94,50,Y,
S27-0021,"4.5"" ANGELONIA ARCHANGEL BLUE BICOLOR",Angelonia,straight,"4.5""",color_annuals,,value,,,31.91,150,Y,
S27-0022,"4.5"" ANGELONIA ARCHANGEL CHERRY RED 26",Angelonia,straight,"4.5""",color_annuals,,value,,,31.76,150,Y,
S27-0023,"4.5"" ANGELONIA ARCHANGEL FUCHSIA",Angelonia,straight,"4.5""",color_annuals,,value,,,27.78,100,Y,
S27-0024,"4.5"" ANGELONIA ARCHANGEL LIGHT PINK",Angelonia,straight,"4.5""",color_annuals,,value,,,31.73,120,Y,
S27-0025,"4.5"" ANGELONIA ARCHANGEL PINK",Angelonia,straight,"4.5""",color_annuals,,,,,,100,Y,
S27-0026,"4.5"" ANGELONIA ARCHANGEL PURPLE",Angelonia,straight,"4.5""",color_annuals,,value,,,31.95,150,Y,
S27-0027,"4.5"" ANGELONIA ARCHANGEL RASPBERRY",Angelonia,straight,"4.5""",color_annuals,,value,,,30.66,140,Y,
S27-0028,"4.5"" ANGELONIA ARCHANGEL RUBY SANGRIA",Angelonia,straight,"4.5""",color_annuals,,value,,,31.85,50,Y,
S27-0029,"4.5"" ANGELONIA ARCHANGEL WHITE",Angelonia,straight,"4.5""",color_annuals,,value,,,31.73,200,Y,
S27-0030,"6.5"" ANGELONIA GUARDIAN ANGEL BERRY SPARKLER",Angelonia,straight,"6.5""",color_annuals,,premium,,,34.54,96,Y,
S27-0031,"6.5"" ANGELONIA GUARDIAN ANGEL BLUE",Angelonia,straight,"6.5""",color_annuals,,premium,,,33.49,96,Y,
S27-0032,"6.5"" ANGELONIA GUARDIAN ANGEL PINK",Angelonia,straight,"6.5""",color_annuals,,,,,,96,Y,
S27-0042,"4.5"" BACOPA MECACOPA BLUE",Bacopa,straight,"4.5""",color_annuals,,value,,,31.17,50,Y,
S27-0043,"4.5"" BACOPA MEGACOPA DARK PINK",Bacopa,straight,"4.5""",color_annuals,,standard,,,32.21,40,Y,
S27-0044,"4.5"" BACOPA MEGACOPA PLUM",Bacopa,straight,"4.5""",color_annuals,,standard,,,32.07,40,Y,
S27-0045,"4.5"" BACOPA MEGACOPA WHITE",Bacopa,straight,"4.5""",color_annuals,,value,,,31.72,50,Y,
S27-0048,"4.5"" BEGONIA BACHELORETTE RED",Begonia,straight,"4.5""",color_annuals,,premium,,,33.28,60,,
S27-0049,"4.5"" BEGONIA BACIO ORANGE",Begonia,straight,"4.5""",color_annuals,,value,,,32,60,,
S27-0050,"4.5"" BEGONIA BACIO PEACH",Begonia,straight,"4.5""",color_annuals,,premium,,,32.81,60,,
S27-0051,"4.5"" BEGONIA BACIO WHITE",Begonia,straight,"4.5""",color_annuals,,premium,,,34.03,30,,
S27-0052,"4.5"" BEGONIA BIG BRONZE LEAF DEEP ROSE",Begonia,straight,"4.5""",color_annuals,,value,,,31.88,160,,
S27-0053,"4.5"" BEGONIA BIG BRONZE LEAF PINK",Begonia,straight,"4.5""",color_annuals,,standard,,,32.32,160,,
S27-0054,"4.5"" BEGONIA BIG BRONZE LEAF RED",Begonia,straight,"4.5""",color_annuals,,value,,,29.07,416,,
S27-0056,"4.5"" BEGONIA BIG BRONZE LEAF WHITE",Begonia,straight,"4.5""",color_annuals,,value,,,30.05,112,,
S27-0057,"4.5"" BEGONIA BIG GREEN LEAF PINK",Begonia,straight,"4.5""",color_annuals,,value,,,31.77,144,,
S27-0061,"4.5"" BEGONIA BIG GREEN LEAF RED",Begonia,straight,"4.5""",color_annuals,,value,,,32.04,432,,
S27-0065,"4.5"" BEGONIA BIG GREEN LEAF ROSE",Begonia,straight,"4.5""",color_annuals,,value,,,31.64,144,,
S27-0066,"4.5"" BEGONIA BIG GREEN LEAF WHITE",Begonia,straight,"4.5""",color_annuals,,value,,,30.82,80,,
S27-0070,"4.5"" BEGONIA FIRST KISS DEL SOL",Begonia,straight,"4.5""",color_annuals,,premium,,,33.07,60,,
S27-0071,"4.5"" BEGONIA FIRST KISS HOT PINK",Begonia,straight,"4.5""",color_annuals,,premium,,,33.03,60,,
S27-0072,"4.5"" BEGONIA FIRST KISS LA LUNA",Begonia,straight,"4.5""",color_annuals,,premium,,,33.24,30,,
S27-0073,"4.5"" BEGONIA FIRST KISS SAFFRON",Begonia,straight,"4.5""",color_annuals,,premium,,,33.01,60,,
S27-0077,"4.5"" BEGONIA GROOVY MELLOW YELLOW",Begonia,straight,"4.5""",color_annuals,,standard,,,32.2,48,,
S27-0078,"4.5"" BEGONIA GROOVY ORANGE",Begonia,straight,"4.5""",color_annuals,,value,,,32.05,64,,
S27-0080,"4.5"" BEGONIA GROOVY RED",Begonia,straight,"4.5""",color_annuals,,value,,,31.98,64,,
S27-0082,"4.5"" BEGONIA GROOVY ROSE",Begonia,straight,"4.5""",color_annuals,,value,,,32.03,64,,
S27-0084,"4.5"" BEGONIA GROOVY WHITE",Begonia,straight,"4.5""",color_annuals,,standard,,,32.12,48,,
S27-0111,"4.5"" BEGONIA NONSTOP FLAME",Begonia,straight,"4.5""",color_annuals,,value,,,31.88,48,,
S27-0112,"4.5"" BEGONIA NONSTOP JOY MOCCA ROSE",Begonia,straight,"4.5""",color_annuals,,value,,,31.75,48,,
S27-0114,"4.5"" BEGONIA NONSTOP JOY MOCCA WHITE",Begonia,straight,"4.5""",color_annuals,,value,,,31.95,48,,
S27-0115,"4.5"" BEGONIA NONSTOP JOY ORANGE",Begonia,straight,"4.5""",color_annuals,,value,,,31.76,48,Y,
S27-0117,"4.5"" BEGONIA NONSTOP JOY RED",Begonia,straight,"4.5""",color_annuals,,value,,,31.79,48,Y,
S27-0119,"4.5"" BEGONIA NONSTOP JOY ROSE PICOTEE",Begonia,straight,"4.5""",color_annuals,,premium,,,33.45,48,Y,
S27-0126,"4.5"" BEGONIA REIGER CAMILLA",Begonia,straight,"4.5""",color_annuals,,premium,,,33.2,60,Y,
S27-0128,"4.5"" BEGONIA REIGER CARNEVAL",Begonia,straight,"4.5""",color_annuals,,premium,,,33.28,40,Y,
S27-0122,"4.5"" BEGONIA REIGER ORANGE BATIK",Begonia,straight,"4.5""",color_annuals,,value,,,31.45,700,Y,
